Counting,geography,Religion,Count,geography code
Individuals,Clackmannanshire,All people,51778,S12000005
Individuals,Clackmannanshire,Church of Scotland,11246,S12000005
Individuals,Clackmannanshire,Roman Catholic,4191,S12000005
Individuals,Clackmannanshire,Other Christian,2183,S12000005
Individuals,Clackmannanshire,Buddhist,82,S12000005
Individuals,Clackmannanshire,Hindu,49,S12000005
Individuals,Clackmannanshire,Jewish,15,S12000005
Individuals,Clackmannanshire,Muslim,626,S12000005
Individuals,Clackmannanshire,Sikh,41,S12000005
Individuals,Clackmannanshire,Pagan,228,S12000005
Individuals,Clackmannanshire,Other religion,97,S12000005
Individuals,Clackmannanshire,No religion,30204,S12000005
Individuals,Clackmannanshire,Religion not stated,2819,S12000005
Individuals,Dumfries and Galloway,All people,145895,S12000006
Individuals,Dumfries and Galloway,Church of Scotland,42192,S12000006
Individuals,Dumfries and Galloway,Roman Catholic,8059,S12000006
Individuals,Dumfries and Galloway,Other Christian,8429,S12000006
Individuals,Dumfries and Galloway,Buddhist,453,S12000006
Individuals,Dumfries and Galloway,Hindu,96,S12000006
Individuals,Dumfries and Galloway,Jewish,62,S12000006
Individuals,Dumfries and Galloway,Muslim,595,S12000006
Individuals,Dumfries and Galloway,Sikh,76,S12000006
Individuals,Dumfries and Galloway,Pagan,598,S12000006
Individuals,Dumfries and Galloway,Other religion,307,S12000006
Individuals,Dumfries and Galloway,No religion,76147,S12000006
Individuals,Dumfries and Galloway,Religion not stated,8881,S12000006
Individuals,East Ayrshire,All people,120324,S12000008
Individuals,East Ayrshire,Church of Scotland,32118,S12000008
Individuals,East Ayrshire,Roman Catholic,9768,S12000008
Individuals,East Ayrshire,Other Christian,4011,S12000008
Individuals,East Ayrshire,Buddhist,152,S12000008
Individuals,East Ayrshire,Hindu,53,S12000008
Individuals,East Ayrshire,Jewish,70,S12000008
Individuals,East Ayrshire,Muslim,709,S12000008
Individuals,East Ayrshire,Sikh,126,S12000008
Individuals,East Ayrshire,Pagan,416,S12000008
Individuals,East Ayrshire,Other religion,240,S12000008
Individuals,East Ayrshire,No religion,66000,S12000008
Individuals,East Ayrshire,Religion not stated,6661,S12000008
Individuals,East Lothian,All people,112284,S12000010
Individuals,East Lothian,Church of Scotland,24758,S12000010
Individuals,East Lothian,Roman Catholic,9088,S12000010
Individuals,East Lothian,Other Christian,5430,S12000010
Individuals,East Lothian,Buddhist,255,S12000010
Individuals,East Lothian,Hindu,195,S12000010
Individuals,East Lothian,Jewish,76,S12000010
Individuals,East Lothian,Muslim,848,S12000010
Individuals,East Lothian,Sikh,98,S12000010
Individuals,East Lothian,Pagan,368,S12000010
